vegetable_id,name,scientific_name,category,color,season,origin,availability,shelf_life_days,storage_requirements,growing_conditions,health_benefits,common_varieties,price_per_kg,kcal_per_100g,protein_g_per_100g,fiber_g_per_100g
11,Cabbage,Brassica oleracea var. capitata,Leafy,"Green, Purple",Fall/Winter,Europe,Year-round,15,Refrigeration,"Cool climate, moist soil","Good for digestion, rich in Vitamin K","Green, Red, Savoy",1.0,25.0,1.3,2.0
12,Sweet Potato,Ipomoea batatas,Tuber,Orange,Fall,Central America,Year-round,30,"Cool, dark place","Well-drained soil, full sunlight","Rich in beta-carotene, promotes eye health","Beauregard, Jewel, Japanese",2.5,86.0,1.6,3.0
13,Green Beans,Phaseolus vulgaris,Legume,Green,Summer,South America,Year-round,7,Refrigeration,"Warm climate, well-drained soil","High in Vitamin K, supports bone health","Bush, Pole, French",2.0,31.0,1.8,2.7
14,Onion,Allium cepa,Bulb,"Yellow, Red, White",Summer,Central Asia,Year-round,60,"Cool, dry place","Loose soil, moderate watering","Anti-inflammatory, supports heart health","Yellow, Red, White",1.2,40.0,1.1,1.7
15,Garlic,Allium sativum,Bulb,White,Fall,Central Asia,Year-round,120,"Cool, dry place","Well-drained soil, full sunlight","Boosts immune system, anti-inflammatory","Softneck, Hardneck, Elephant",5.0,149.0,6.4,2.1
16,Lettuce,Lactuca sativa,Leafy,Green,Spring,Mediterranean,Year-round,5,Refrigeration,"Cool climate, moist soil","Low in calories, supports digestion","Butterhead, Romaine, Iceberg",1.0,15.0,1.4,1.3
17,Beetroot,Beta vulgaris,Root,Red,Fall,Europe,Seasonal,14,"Cool, dry place","Well-drained soil, full sunlight","Rich in nitrates, supports heart health","Detroit Dark Red, Chioggia, Golden",2.5,43.0,1.6,2.8
18,Radish,Raphanus sativus,Root,"Red, White",Spring,Southeast Asia,Seasonal,10,Refrigeration,"Loose soil, moderate watering","Supports digestion, high in antioxidants","Red Globe, Daikon, French Breakfast",2.0,16.0,0.7,1.6
19,Pumpkin,Cucurbita pepo,Fruit,Orange,Fall,North America,Seasonal,60,"Cool, dry place","Well-drained soil, full sunlight","High in Vitamin A, supports immune system","Sugar Pie, Jack-o'-Lantern, Cinderella",1.2,26.0,1.0,0.5
20,Peas,Pisum sativum,Legume,Green,Spring,Mediterranean,Seasonal,5,Refrigeration,"Cool climate, well-drained soil","High in protein, supports eye health","Garden Peas, Snap Peas, Snow Peas",3.0,81.0,5.4,5.7
21,Corn,Zea mays,Grain,Yellow,Summer,Central America,Seasonal,7,"Cool, dry place","Warm climate, full sunlight","Good source of energy, high in fiber","Sweet Corn, Flint Corn, Dent Corn",2.0,86.0,3.2,2.7
22,Asparagus,Asparagus officinalis,Stem,"Green, White",Spring,Europe,Seasonal,7,Refrigeration,"Loose soil, full sunlight","Supports bone health, rich in Vitamin K","Green, White, Purple",6.0,20.0,2.2,2.1
23,Cucumber,Cucumis sativus,Fruit,Green,Summer,South Asia,Year-round,7,Refrigeration,"Warm climate, well-drained soil","Hydrating, supports skin health","Slicing, Pickling, Seedless",1.5,16.0,0.7,0.5
24,Brussels Sprouts,Brassica oleracea var. gemmifera,Leafy,Green,Fall/Winter,Mediterranean,Year-round,10,Refrigeration,"Cool climate, rich soil","High in fiber, supports digestive health","Long Island Improved, Jade Cross, Redarling",4.0,43.0,3.4,3.8
25,Leek,Allium ampeloprasum,Bulb,"Green, White",Fall/Winter,Mediterranean,Year-round,7,Refrigeration,"Well-drained soil, full sunlight","Supports cardiovascular health, high in Vitamin K","American Flag, King Richard, Carentan",3.0,61.0,1.5,1.8
26,Turnip,Brassica rapa,Root,"White, Purple",Fall/Winter,Europe,Seasonal,14,"Cool, dry place","Cool climate, moist soil","Rich in Vitamin C, supports digestion","Purple Top, Golden Ball, Scarlet Queen",1.5,28.0,0.9,1.8
27,Okra,Abelmoschus esculentus,Fruit,Green,Summer,Africa,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","High in fiber, supports digestive health","Clemson Spineless, Red Burgundy, Annie Oakley",4.0,33.0,2.0,3.2
28,Celery,Apium graveolens,Stem,Green,Fall/Winter,Mediterranean,Year-round,14,Refrigeration,"Cool climate, moist soil","Low in calories, supports hydration","Pascal, Golden, Celeriac",1.8,16.0,0.7,1.6
29,Fennel,Foeniculum vulgare,Bulb,"White, Green",Fall/Winter,Mediterranean,Seasonal,10,Refrigeration,"Well-drained soil, full sunlight","Supports digestion, rich in fiber","Florence, Sweet, Bronze",5.0,31.0,1.2,3.1
30,Artichoke,Cynara scolymus,Flower,Green,Spring,Mediterranean,Seasonal,7,Refrigeration,"Cool climate, rich soil","High in antioxidants, supports liver health","Green Globe, Purple of Romagna, Violetta di Chioggia",7.0,47.0,3.3,5.4
31,Swiss Chard,Beta vulgaris subsp. cicla,Leafy,"Green, Red",Spring/Summer,Mediterranean,Year-round,7,Refrigeration,"Cool climate, well-drained soil","Rich in vitamins A and C, supports bone health","Fordhook Giant, Rainbow, Ruby Red",4.0,19.0,1.8,1.6
32,Bok Choy,Brassica rapa subsp. chinensis,Leafy,"Green, White",Spring/Fall,China,Year-round,10,Refrigeration,"Cool climate, moist soil","High in calcium, supports bone health","Baby Bok Choy, Shanghai, Joi Choi",3.5,13.0,1.5,1.0
33,Rhubarb,Rheum rhabarbarum,Stem,"Red, Green",Spring/Summer,Siberia,Seasonal,7,Refrigeration,"Cool climate, well-drained soil","High in antioxidants, supports digestion","Victoria, Canada Red, Crimson Red",4.5,21.0,0.9,1.8
34,Parsnip,Pastinaca sativa,Root,White,Fall/Winter,Europe,Seasonal,30,"Cool, dry place","Well-drained soil, full sunlight","High in potassium, supports heart health","Hollow Crown, Harris Model, All American",2.2,75.0,1.2,4.9
35,Endive,Cichorium endivia,Leafy,"Green, Yellow",Fall/Winter,Mediterranean,Seasonal,5,Refrigeration,"Cool climate, rich soil","Supports digestive health, high in fiber","Curly Endive, Broadleaf Batavian, Frisée",5.0,17.0,1.3,3.1
36,Collard Greens,Brassica oleracea var. viridis,Leafy,Green,Fall/Winter,Eastern Europe,Year-round,10,Refrigeration,"Cool climate, rich soil","High in calcium, supports bone health","Georgia, Morris Heading, Champion",3.5,32.0,3.0,4.0
37,Rutabaga,Brassica napus var. napobrassica,Root,"Yellow, Purple",Fall/Winter,Scandinavia,Seasonal,30,"Cool, dry place","Well-drained soil, full sunlight","Rich in Vitamin C, supports immune health","American Purple Top, Laurentian",1.8,37.0,1.2,2.3
38,Kohlrabi,Brassica oleracea var. gongylodes,Root,"Green, Purple",Fall/Winter,Europe,Year-round,14,Refrigeration,"Cool climate, moist soil","Supports digestion, high in fiber","Purple Vienna, White Vienna, Gigante",2.5,27.0,1.7,3.6
39,Jicama,Pachyrhizus erosus,Root,Brown,Summer,Central America,Year-round,14,"Cool, dry place","Well-drained soil, full sunlight","Low in calories, supports digestive health","Mexican Turnip, Water Chestnut",3.0,38.0,0.7,4.9
40,Scallion,Allium fistulosum,Bulb,"Green, White",Spring/Fall,Central Asia,Year-round,10,Refrigeration,"Loose soil, full sunlight","High in Vitamin K, supports bone health","Evergreen Hardy, Nabechan, White Lisbon",2.0,32.0,1.8,2.6
41,Mustard Greens,Brassica juncea,Leafy,Green,Spring/Fall,India,Year-round,7,Refrigeration,"Cool climate, rich soil","Rich in antioxidants, supports heart health","Southern Giant Curled, Red Giant, Green Wave",3.2,27.0,2.6,3.2
42,Chayote,Sechium edule,Fruit,Green,Summer,Central America,Year-round,14,"Cool, dry place","Well-drained soil, full sunlight","Supports digestion, rich in Vitamin C","Smooth, Spiny, Pear Squash",4.0,19.0,0.8,2.2
43,Sunchoke,Helianthus tuberosus,Tuber,Brown,Fall,North America,Seasonal,14,"Cool, dry place","Loose soil, full sunlight","High in potassium, supports digestive health","Stampede, Clearwater, Red Fuseau",6.0,73.0,2.0,1.6
44,Watercress,Nasturtium officinale,Leafy,Green,Spring,Europe,Year-round,5,Refrigeration,"Wet soil, partial shade","Rich in antioxidants, supports eye health","Upland, Broadleaf, Winter Cress",6.0,11.0,2.3,0.5
45,Broccolini,Brassica oleracea var. italica,Flower,Green,Spring/Summer,Japan,Year-round,7,Refrigeration,"Well-drained soil, full sunlight","High in Vitamin C, supports immune health","Aspabroc, Sweet Baby, Broccolette",8.0,35.0,3.5,2.5
46,Tomatillo,Physalis philadelphica,Fruit,Green,Summer,Mexico,Seasonal,14,"Cool, dry place","Warm climate, well-drained soil","Rich in Vitamin C, supports immune health","Toma Verde, Purple, Rio Grande Verde",4.5,32.0,1.0,1.9
47,Bamboo Shoots,Bambusa vulgaris,Stem,"Yellow, Green",Spring,Asia,Seasonal,7,Refrigeration,"Warm climate, rich soil","Low in calories, supports digestion","Sweet, Bitter, Thorny",5.0,27.0,2.6,2.2
48,Acorn Squash,Cucurbita pepo var. turbinata,Fruit,"Green, Orange",Fall,Central America,Seasonal,30,"Cool, dry place","Well-drained soil, full sunlight","Rich in Vitamin A, supports vision health","Table Queen, Gold, Taybelle",3.0,40.0,1.0,2.0
49,Daikon Radish,Raphanus sativus var. longipinnatus,Root,White,Winter,East Asia,Seasonal,14,Refrigeration,"Cool climate, well-drained soil","High in Vitamin C, supports digestion","Minowase, Miyashige, Alpine",2.0,18.0,0.6,1.6
50,Bitter Melon,Momordica charantia,Fruit,Green,Summer,India,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","Supports blood sugar regulation, high in Vitamin C","Chinese, Indian, White",4.0,17.0,1.0,2.6
51,Dandelion Greens,Taraxacum officinale,Leafy,Green,Spring,Europe,Seasonal,5,Refrigeration,"Well-drained soil, full sunlight","Rich in antioxidants, supports liver health","Red-Ribbed, French, Common",5.5,45.0,2.7,3.5
52,Cassava,Manihot esculenta,Tuber,Brown,Year-round,South America,Year-round,30,"Cool, dry place","Well-drained soil, full sunlight","High in carbohydrates, supports energy production","Sweet, Bitter, Brazilian",1.8,160.0,1.4,1.8
53,Mizuna,Brassica rapa var. nipposinica,Leafy,Green,Spring/Fall,Japan,Seasonal,7,Refrigeration,"Cool climate, well-drained soil","High in antioxidants, supports immune health","Early Mizuna, Kyona Mizuna, Red Mizuna",6.0,22.0,2.0,1.8
54,Taro Root,Colocasia esculenta,Tuber,"Brown, Purple",Fall,Southeast Asia,Year-round,30,"Cool, dry place","Wet soil, partial shade","High in fiber, supports digestive health","Eddo, Dasheen, Hawaiian",3.5,142.0,0.5,5.1
55,Purslane,Portulaca oleracea,Leafy,Green,Summer,Mediterranean,Seasonal,5,Refrigeration,"Well-drained soil, full sunlight","Rich in Omega-3 fatty acids, supports heart health","Golden, Green, Red",4.0,16.0,1.3,1.5
56,Jerusalem Artichoke,Helianthus tuberosus,Tuber,Brown,Fall,North America,Seasonal,14,"Cool, dry place","Loose soil, full sunlight","High in fiber, supports digestive health","Stampede, Clearwater, Red Fuseau",7.0,73.0,2.0,1.6
57,Celeriac,Apium graveolens var. rapaceum,Root,"Brown, White",Fall/Winter,Mediterranean,Seasonal,30,"Cool, dry place","Cool climate, rich soil","Supports bone health, rich in Vitamin K","Brilliant, Giant Prague, Monarch",3.5,42.0,1.5,1.8
58,Salsify,Tragopogon porrifolius,Root,"Brown, White",Fall,Mediterranean,Seasonal,14,"Cool, dry place","Well-drained soil, full sunlight","Supports digestion, high in fiber","Mammoth Sandwich Island, Black",6.0,82.0,3.0,3.3
59,Chard,Beta vulgaris subsp. cicla,Leafy,"Green, Red",Year-round,Mediterranean,Year-round,7,Refrigeration,"Cool climate, well-drained soil","Rich in vitamins A and C, supports bone health","Fordhook Giant, Rainbow, Ruby Red",4.0,19.0,1.8,1.6
60,Cress,Lepidium sativum,Leafy,Green,Spring,Mediterranean,Year-round,5,Refrigeration,"Well-drained soil, partial shade","High in vitamins A, C, K, supports eye health","Curled, Land, Winter",8.0,32.0,2.6,1.1
61,Amaranth Greens,Amaranthus spp.,Leafy,"Green, Red",Summer,Central America,Seasonal,7,Refrigeration,"Warm climate, rich soil","Rich in protein and iron, supports heart health","Red Garnet, Green Callaloo, Joseph's Coat",4.5,23.0,2.5,2.1
62,Napa Cabbage,Brassica rapa subsp. pekinensis,Leafy,Pale Green,Fall/Winter,China,Year-round,14,Refrigeration,"Cool climate, moist soil","Low in calories, rich in Vitamin C","Michihli, Green Rocket, Optiko",2.8,16.0,1.0,1.5
63,Tindora,Coccinia grandis,Fruit,Green,Summer,South Asia,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","Supports digestion, rich in Vitamin A","Ivy Gourd, Scarlet Gourd",5.0,18.0,1.2,2.0
64,Malabar Spinach,Basella alba,Leafy,"Green, Red",Summer,India,Year-round,7,Refrigeration,"Warm climate, well-drained soil","Rich in vitamins A, C, supports eye and skin health","Green, Red Stem, Creeping Spinach",4.0,23.0,2.7,1.5
65,Tatsoi,Brassica rapa subsp. narinosa,Leafy,Green,Fall/Winter,East Asia,Year-round,7,Refrigeration,"Cool climate, rich soil","High in vitamins A and C, supports eye health","Yukina Savoy, Rosette, Spoonleaf",6.5,19.0,2.1,1.6
66,Winged Bean,Psophocarpus tetragonolobus,Legume,Green,Summer,Southeast Asia,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","High in protein, supports digestive health","Princess Bean, Goa Bean, Asparagus Pea",8.0,49.0,2.8,2.2
67,Snake Gourd,Trichosanthes cucumerina,Fruit,Green,Summer,India,Seasonal,7,Refrigeration,"Warm climate, rich soil","Supports digestion, rich in fiber","Short, Long, White",4.5,18.0,1.0,2.4
68,Bitter Leaf,Vernonia amygdalina,Leafy,Green,Year-round,Africa,Year-round,5,Refrigeration,"Well-drained soil, full sunlight","Supports blood sugar regulation, rich in antioxidants","Nigerian, Cameroonian",5.5,26.0,2.3,3.6
69,Sorrel,Rumex acetosa,Leafy,Green,Spring/Summer,Europe,Seasonal,5,Refrigeration,"Well-drained soil, partial shade","Rich in Vitamin C, supports immune health","French, Broadleaf, Red-veined",7.0,22.0,2.0,1.4
70,Celtuce,Lactuca sativa var. asparagina,Stem,Green,Spring/Fall,China,Seasonal,10,Refrigeration,"Cool climate, rich soil","Low in calories, supports hydration","Green, Red, Tongshan",3.0,18.0,0.9,1.3
71,Epazote,Dysphania ambrosioides,Herb,Green,Spring/Summer,Central America,Seasonal,5,Refrigeration,"Warm climate, well-drained soil","Supports digestion, rich in essential oils","Common, Red, Narrow-leaf",4.0,32.0,3.5,1.8
72,Yardlong Bean,Vigna unguiculata subsp. sesquipedalis,Legume,Green,Summer,Southeast Asia,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","High in protein, supports heart health","Stickless Wonder, Red Noodle, Mosaic",6.0,47.0,3.0,3.6
73,Romanesco,Brassica oleracea var. botrytis,Flower,Green,Fall,Italy,Seasonal,10,Refrigeration,"Well-drained soil, full sunlight","High in Vitamin C, supports immune health","Veronica, Chartreuse, Puntoverde",8.5,25.0,2.0,2.4
74,Black Radish,Raphanus sativus var. niger,Root,"Black, White",Winter,Eastern Europe,Seasonal,14,Refrigeration,"Cool climate, well-drained soil","Supports digestion, high in fiber","Noir Long Maraîcher, Round Spanish, Nero Tondo",3.5,20.0,0.8,1.5
75,Nopales,Opuntia ficus-indica,Cactus,Green,Year-round,Mexico,Year-round,10,Refrigeration,"Warm climate, well-drained soil","Supports digestion, rich in antioxidants","Spineless, Red, White",6.0,16.0,1.3,2.2
76,Samphire,Salicornia europaea,Succulent,Green,Summer,Coastal regions,Seasonal,5,Refrigeration,"Salty soil, coastal climate","Rich in minerals, supports thyroid health","Marsh, Rock, Sea Asparagus",15.0,22.0,2.1,1.8
77,Chrysanthemum Greens,Chrysanthemum coronarium,Leafy,"Green, Yellow",Spring,Asia,Seasonal,5,Refrigeration,"Cool climate, well-drained soil","Rich in antioxidants, supports immune health","Shungiku, Edible Chrysanthemum",7.0,25.0,2.5,1.8
78,Arugula,Eruca vesicaria subsp. sativa,Leafy,Green,Spring/Fall,Mediterranean,Year-round,7,Refrigeration,"Well-drained soil, full sunlight","High in vitamins A and C, supports heart health","Wild, Rocket, Sylvetta",5.5,25.0,2.6,1.5
79,Gai Lan,Brassica oleracea var. alboglabra,Leafy,Green,Winter,China,Year-round,7,Refrigeration,"Cool climate, rich soil","High in calcium, supports bone health","Chinese Broccoli, Kailaan, Jie Lan",4.0,32.0,2.0,2.7
80,Sweet Potato Leaves,Ipomoea batatas,Leafy,"Green, Purple",Summer,Central America,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","Rich in antioxidants, supports heart health","Okinawa, Purple, Georgia Jet",3.5,38.0,2.0,2.5
81,Oca,Oxalis tuberosa,Tuber,"Orange, Pink",Fall,South America,Seasonal,30,"Cool, dry place","Well-drained soil, full sunlight","High in carbohydrates, supports energy production","New Zealand Yam, Red Oca, Hopin",9.0,70.0,1.5,1.8
82,Canna Lily Root,Canna indica,Tuber,"White, Yellow",Fall,Central America,Seasonal,30,"Cool, dry place","Warm climate, well-drained soil","Rich in starch, supports energy production","Queensland Arrowroot, Edible Canna",7.5,130.0,1.2,1.5
83,Kangkong,Ipomoea aquatica,Leafy,Green,Summer,Southeast Asia,Year-round,7,Refrigeration,"Warm climate, well-drained soil","High in Vitamin A, supports eye health","Water Spinach, Chinese Watercress",3.0,20.0,2.0,1.7
84,Amaranth,Amaranthus spp.,Leafy,"Green, Red",Summer,Central America,Seasonal,7,Refrigeration,"Warm climate, rich soil","Rich in protein and iron, supports heart health","Red Garnet, Green Callaloo, Joseph's Coat",4.5,23.0,2.5,2.1
85,Water Chestnut,Eleocharis dulcis,Tuber,Brown,Fall,Asia,Seasonal,7,"Cool, dry place","Wet soil, full sunlight","High in fiber, supports digestive health","Chinese Water Chestnut, Singkamas",6.0,97.0,1.4,4.5
86,Kudzu,Pueraria montana,Root,Brown,Summer,Asia,Seasonal,30,"Cool, dry place","Warm climate, well-drained soil","High in fiber, supports digestive health","Japanese Kudzu, Arrowroot",7.0,100.0,2.0,5.0
87,Taro,Colocasia esculenta,Tuber,"Brown, Purple",Fall,Southeast Asia,Year-round,30,"Cool, dry place","Wet soil, partial shade","High in fiber, supports digestive health","Eddo, Dasheen, Hawaiian",3.5,142.0,0.5,5.1
88,Sea Beet,Beta vulgaris subsp. maritima,Leafy,"Green, Red",Summer,Coastal regions,Seasonal,7,Refrigeration,"Coastal soil, partial shade","Supports bone health, rich in minerals","Wild Beet, Sea Spinach",6.5,37.0,1.4,3.8
89,Sweet Corn,Zea mays,Fruit,Yellow,Summer,Central America,Seasonal,7,"Cool, dry place","Warm climate, well-drained soil","Supports energy production, rich in fiber","Silver Queen, Golden Bantam, Popcorn",2.5,86.0,3.2,2.7
90,Nopalito,Opuntia spp.,Cactus,Green,Year-round,Mexico,Year-round,7,Refrigeration,"Warm climate, well-drained soil","Supports digestion, rich in antioxidants","Prickly Pear, Paddle Cactus",5.5,16.0,1.3,2.2
91,Celery Root,Apium graveolens var. rapaceum,Root,"Brown, White",Fall/Winter,Mediterranean,Seasonal,30,"Cool, dry place","Cool climate, rich soil","Supports bone health, rich in Vitamin K","Brilliant, Giant Prague, Monarch",3.5,42.0,1.5,1.8
92,Broccoli Raab,Brassica rapa var. subsp. rapa,Leafy,Green,Spring/Fall,Mediterranean,Seasonal,7,Refrigeration,"Cool climate, well-drained soil","High in antioxidants, supports heart health","Rapini, Cima di Rapa, Spring Raab",4.5,22.0,2.6,3.0
93,Lotus Root,Nelumbo nucifera,Tuber,Brown,Fall,Asia,Seasonal,10,"Cool, dry place","Well-drained soil, full sunlight","Rich in Vitamin C, supports immune health","Chinese Lotus Root, Indian Lotus",7.0,74.0,2.6,2.3
94,Komatsuna,Brassica rapa subsp. perviridis,Leafy,Green,Winter,Japan,Year-round,7,Refrigeration,"Cool climate, well-drained soil","Rich in vitamins A and C, supports eye health","Japanese Mustard Spinach, Komatsuna",4.0,26.0,3.0,2.0
95,Celosia,Celosia argentea,Leafy,"Red, Green",Summer,Africa,Seasonal,7,Refrigeration,"Warm climate, well-drained soil","Rich in antioxidants, supports immune health","Red Cockscomb, Plumed Celosia",5.0,30.0,2.1,1.5
96,Fiddlehead Fern,Matteuccia struthiopteris,Fern,Green,Spring,North America,Seasonal,5,Refrigeration,"Cool, shaded environment","Rich in antioxidants, supports digestive health","Ostrich Fern, Bracken Fern",10.0,34.0,3.0,2.5
97,Chervil,Anthriscus cerefolium,Herb,Green,Spring/Summer,Europe,Seasonal,5,Refrigeration,"Well-drained soil, partial shade","Rich in vitamins A and C, supports digestion","Curly Chervil, Flat-leaf Chervil",6.0,17.0,1.0,1.2
98,Sea Kale,Crambe maritima,Leafy,Green,Spring,Coastal regions,Seasonal,10,Refrigeration,"Coastal soil, full sunlight","Rich in Vitamin C, supports immune health","Wild Sea Kale, Cultivated Sea Kale",7.0,25.0,2.5,2.0
99,Wasabi,Wasabia japonica,Root,Green,Year-round,Japan,Year-round,7,Refrigeration,"Cool, shaded environment","Supports digestion, rich in antioxidants",Japanese Horseradish,100.0,50.0,1.0,1.8
100,Upland Cress,Barbarea verna,Leafy,Green,Spring,Europe,Seasonal,5,Refrigeration,"Well-drained soil, full sunlight","Rich in vitamins A and C, supports immune health","American Cress, Winter Cress",5.5,21.0,2.2,1.7
101,Chinese Broccoli,Brassica oleracea var. alboglabra,Leafy,Green,Winter,China,Year-round,7,Refrigeration,"Cool climate, rich soil","High in calcium, supports bone health","Gai Lan, Kailaan",4.0,32.0,2.0,2.7
102,White Radish,Raphanus sativus,Root,White,Winter,Asia,Seasonal,14,Refrigeration,"Cool climate, well-drained soil","High in Vitamin C, supports digestion","Daikon, Long White Radish",2.0,16.0,0.6,1.6
103,Japanese Pumpkin,Cucurbita maxima,Fruit,Orange,Fall,Japan,Seasonal,14,"Cool, dry place","Well-drained soil, full sunlight","High in Vitamin A, supports immune health","Kabocha, Japanese Squash",4.5,26.0,1.0,1.5
104,Corn Salad,Valerianella locusta,Leafy,Green,Spring,Europe,Seasonal,7,Refrigeration,"Well-drained soil, full sunlight","Rich in vitamins A and C, supports bone health","Mâche, Lamb's Lettuce",6.0,15.0,1.5,1.2
105,Yarrow,Achillea millefolium,Herb,Green,Summer,Europe,Seasonal,7,Refrigeration,"Well-drained soil, full sunlight","Supports digestion, rich in antioxidants","Common Yarrow, Meadow Yarrow",4.5,43.0,2.5,2.0
106,Gourd,Lagenaria siceraria,Fruit,"Green, Brown",Summer,Africa,Seasonal,14,"Cool, dry place","Well-drained soil, full sunlight","Supports digestion, low in calories","Bottle Gourd, Calabash",3.0,14.0,0.6,1.3
107,Yellow Squash,Cucurbita pepo,Fruit,Yellow,Summer,Americas,Seasonal,7,"Cool, dry place","Well-drained soil, full sunlight","High in Vitamin C, supports immune health","Crookneck, Straightneck, Summer Squash",3.0,16.0,1.0,1.4
108,Perilla,Perilla frutescens,Herb,Green,Summer,Asia,Seasonal,7,Refrigeration,"Well-drained soil, full sunlight","Rich in antioxidants, supports heart health","Shiso, Japanese Basil",7.0,43.0,3.5,2.6
109,Cardoon,Cynara cardunculus,Leafy,Green,Fall/Winter,Mediterranean,Seasonal,14,Refrigeration,"Cool climate, well-drained soil","Rich in antioxidants, supports digestion","Artichoke Thistle, Spanish Cardoon",6.0,47.0,1.5,3.0
110,Nasturtium,Tropaeolum majus,Leafy,"Green, Orange",Summer,South America,Seasonal,7,Refrigeration,"Well-drained soil, full sunlight","Rich in Vitamin C, supports immune health","Garden Nasturtium, Indian Cress",5.5,40.0,2.0,2.0
111,Jute Leaves,Corchorus olitorius,Leafy,Green,Summer,Africa,Year-round,7,Refrigeration,"Warm climate, well-drained soil","Rich in antioxidants, supports digestion","Saluyot, Egyptian Spinach",6.0,30.0,1.5,2.5
112,Escarole,Cichorium endivia,Leafy,Green,Fall/Winter,Europe,Seasonal,7,Refrigeration,"Well-drained soil, full sunlight","Supports digestion, rich in vitamins A and C","Endive, Frisée",4.0,15.0,1.0,1.0
113,Radicchio,Cichorium intybus,Leafy,Red,Fall/Winter,Europe,Seasonal,10,Refrigeration,"Well-drained soil, full sunlight","Rich in antioxidants, supports heart health","Chioggia, Treviso",5.0,23.0,1.0,1.5
114,Land Cress,Barbarea vulgaris,Leafy,Green,Winter,Europe,Seasonal,7,Refrigeration,"Cool climate, well-drained soil","Rich in vitamins A and C, supports immune health","Winter Cress, American Cress",5.0,18.0,1.8,2.0
115,Poblano Pepper,Capsicum annuum,Fruit,Green,Summer,Mexico,Year-round,7,Refrigeration,"Warm climate, well-drained soil","Rich in Vitamin C, supports immune health","Pasilla, Ancho",4.0,20.0,0.9,1.7
116,Korean Radish,Raphanus sativus var. koreanus,Root,White,Winter,Korea,Seasonal,10,Refrigeration,"Cool climate, well-drained soil","High in Vitamin C, supports digestion","Mu, Korean Daikon",2.5,15.0,1.0,2.0
117,Nettle,Urtica dioica,Leafy,Green,Spring,Europe,Seasonal,5,Refrigeration,"Cool, shaded environment","Rich in vitamins and minerals, supports blood health","Common Nettle, Stinging Nettle",5.0,42.0,2.5,6.9
